Juego,Balda,Fecha adquisición,Prestado a,Fecha préstamo,Estado,Anotaciones,Comprobado,Veces sacado 2014,Veces sacado 2015,Veces sacado 2016,Veces sacado 2017,Veces sacado 2018,Veces sacado 2019,Veces sacado 2020,Veces sacado 2021,Veces sacado 2023,Veces sacado 2024,Veces sacado 2025,Veces sacado TOTAL,,,,,,,,,,,,,,
El Hobbit,B6,,,,,ok,7-octubre,,,,,1,,,,,,,1,,,,,,,,,,,,,,
El Hobbit: El juego de cartas,*,,,,,ok,7-octubre,,,,,,,,,,,,0,,,,,,,,,,,,,,
El Hobbit: La Desolacion de Smaug,*,,,,,ok,7-octubre,,1,1,,,,,,,,,2,,,,,,,,,,,,,,
El Hombre Lobo Edición Definitiva,COL 2,,,,,ok,12-agosto,,3,,,,,,,,,1,4,,,,,,,,,,,,,,
El Hombre Lobo Expansión Artefactos,COL 2,,,,,ok,12-agosto,,,,,,,,,,,,0,,,,,,,,,,,,,,
El Laberinto Mágico,Y2,,,,,,,2,4,1,3,4,5,,1,2,2,1,25,,,,,,,,,,,,,,
El Maestro,Z5,,,,,,,,,,,,2,2,2,,1,,7,,,,,,,,,,,,,,
El Ministerio del Tiempo,D0,,,,,,,,,,,1,1,,,,,,2,,,,,,,,,,,,,,
El Monstruo de colores,Z4,,,,,,,,,,,,2,1,1,2,,,6,,,,,,,,,,,,,,
El Monstruo de los calcetines,COL 6,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
El Mortal,COL 5,,,,,,,,,,,,2,,,,2,,4,,,,,,,,,,,,,,
El Mundo de Aguila Roja,Ventas,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
El Oráculo de Delfos,F3,,,,,ok,,,,,2,2,1,,3,,,,8,,,,,,,,,,,,,,
El oro maldito,Y3,,,,,,,,,,,,2,2,1,2,,,7,,,,,,,,,,,,,,
El Padrino,A4,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
El Portal de Molthar,COL 5,,,,,,,,,2,1,,,,,,,,3,,,,,,,,,,,,,,
El Portero Baldomero,COL 1,,,,,,,,,,,3,9,3,3,,,1,19,,,,,,,,,,,,,,
El Rey de los Dados,Z2,,,,,,,,,,,,3,4,3,1,1,,12,,,,,,,,,,,,,,
El Rey de los Dados: El Juego de Mesa,Y4,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
El Rey de los Enanos,COL 4,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
El Robo del Siglo,COL 4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
El Señor de los Anillos,B6,,,,,caja rota,7-octubre,,1,,,3,,,,,,,4,,,,,,,,,,,,,,
El Señor de los Anillos: El Viaje a Mordor,COL 5,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,
El Séptimo Héroe,COL 4,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
El Sheriff de Nottingham,D5,,,,,,,,,6,,,,,1,,,,7,,,,,,,,,,,,,,
El Soneto,M1,,,,,,,,,,2,,2,,,,,,4,,,,,,,,,,,,,,
El Susurro de las Hojas,COL 2,,,,,,,,,,,,,,,1,,2,3,,,,,,,,,,,,,,
El Tango de la Tarántula,COL 7,,,,,ok,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
El Tesoro de Isla Tortuga,COL 5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
El Tesoro de los Dragones,COL 2,,,,,,,,,,,,1,2,,,,,3,,,,,,,,,,,,,,
El Tesoro de San Borondón,Y5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
El Último Superviviente,COL 4,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,
El Valle de los Mercaderes,COL 2,,,,,,,,,,4,,,,,1,,1,6,,,,,,,,,,,,,,
El Valle de los Molinos,L5,20 NOV 2024,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,,,,,
El Valle de los Reyes,COL 2,,,,,,,,,,2,,,1,,,,,3,,,,,,,,,,,,,,
El Valle de los Vikingos,Y6,,,,,,,,,,,,4,2,3,1,1,,11,,,,,,,,,,,,,,
Eldritch Horror,B4,,,,,,,,5,5,4,1,1,1,2,,1,,20,,,,,,,,,,,,,,
Eldritch Horror: Saber Olvidado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrópolis,H4,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Elefantes al tablón,Novedades,26 ABR 2025,,,n,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,
Elements,COL 5,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Emboscados,COL 4,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
En el año del dragón,F3,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,
En la mente de Sherlock,*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Endeavor: La era de la navegación,K5,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Endeavor: Dominion Mini Expansión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endeavor: Aprovecha tu destino Mini Expansión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endeavor: Mar Profundo,K6,24 MAY 2025,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,
Enigma,C0,,,,,,,,3,,,3,,,,,1,,7,,,,,,,,,,,,,,
Ensalada de Bichos,COL 7,,,,,ok,,,1,,1,2,1,1,,,,,6,,,,,,,,,,,,,,
Ensalada de Puntos,COL 3,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Entre dos castillos del Rey Loco Ludwig,H2,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Epic,COL 5,,,,,,,,,,2,,,,,,,,2,,,,,,,,,,,,,,
Eriantys,J5,,,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,
"Erizos, ¡A rodar!",Z5,,,,,,,,,,,,,,,3,1,1,5,,,,,,,,,,,,,,
Erizos a la Carrera,Y4,,,,,,,,1,1,1,,,,,,,1,4,,,,,,,,,,,,,,
Esbirros,*,,,,,,,,,,,1,,,,,1,,2,,,,,,,,,,,,,,
Escape Pods,E6,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Escape Room: The Game,F6,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Escape: The Curse of the Temple,I2,,,,,,,,2,,3,2,,,1,,1,,9,,,,,,,,,,,,,,
Escape Tales: El despertar,G6,,,,,,,,,,,,,1,1,,,1,3,,,,,,,,,,,,,,
Escape Tales: Sin memoria,G6,,,,,,,,,,,,,,,1,2,,3,,,,,,,,,,,,,,
Escape the Room: El Secreto del Dr. Gravely,F6,,,,,,,,,,2,4,2,1,,,1,1,11,,,,,,,,,,,,,,
Escuela de pingüinos,Y1,,,,,"falta un pez, sujetapared",,,,3,1,1,,1,,1,,,7,,,,,,,,,,,,,,
ESDLA: El Duelo por la Tierra Media,Novedades,26 ABR 2025,Loanna,5 oct,n,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,
ESDLA: La Batalla por la Tierra Media,COL 5,,,,,ok,7-octubre,,,,,,,,,,,,0,,,,,,,,,,,,,,
Esferamidal,J6,MARZO 2024,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,
España 20: La Guerra Peninsular,C5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Estado de Sitio,C2,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Estudio en Esmeralda (Segunda Edición),B4,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,
Euphoria: Construye una distopia mejor,H1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
Eureka!,COL 0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Everdell,H3,,,,,,,,,,,,,,,1,2,1,4,,,,,,,,,,,,,,
Ex Libris,H2,,,,,,,,,,,,,3,1,1,1,,6,,,,,,,,,,,,,,
Exit: El cementerio de las tinieblas,COL 3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Exit: El Laboratorio Secreto,COL 3,,,,,,,,,,2,4,4,,,,2,,12,,,,,,,,,,,,,,
Exit: El Señor de los Anillos: Sombras sobre Tierra Media ,COL 3,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,,,
Exit: La cabaña abandonada,COL 3,,,,,,,,,,2,5,4,1,,1,1,,14,,,,,,,,,,,,,,
Exit: La desaparición de Sherlock Holmes,COL 3,10 OCT 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Exit: La puerta entre los mundos,COL 3,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Exit: La Tumba del Faraón,COL 3,,,,,,,,,,2,5,5,1,,,,1,14,,,,,,,,,,,,,,
Exit: Las catacumbas del terror,COL 3,20 JUN 2024,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Exit: Muerte en el Orient Express,COL 3,,,,,,,,,,,,,,,1,,2,3,,,,,,,,,,,,,,
Exit: Puzzle – El templo perdido,COL 3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Exit: Secuestro en Fortune City,COL 3,10 FEB 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Exit Kids: Acertijos en la jungla,COL 3,5 AGO 2024,,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,
Exploding Kittens: Edición NSFW,COL 1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Exploradores,I5,,,,,ok,7-octubre,,,3,2,,3,1,2,1,,,12,,,,,,,,,,,,,,
Exploradores de las estrellas,Y3,,,,,,,,,,,,,,1,1,,,2,,,,,,,,,,,,,,
Exploradores del Valle Perdido,COL 5,,,,,,,,,,1,,1,,,,,,2,,,,,,,,,,,,,,
Eye 'N Seek,Z2,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,
Fábula Regnum,Ventas,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Fabulántica,Y5,,,,,,,,,,,,,1,,2,,,3,,,,,,,,,,,,,,
Fábulas de Peluche,B5,,,,,,,,,,,,10,5,1,3,,,19,,,,,,,,,,,,,,
Fairy Tile,Z2,,,,,,,,,,,,4,2,1,,1,,8,,,,,,,,,,,,,,
Familiarizados,*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Familienbande,H6,,,,,ok,,1,1,3,,,,,,,,,5,,,,,,,,,,,,,,
Fanhunter: Assault,*,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Fanhunter Assault: Fanpiro,*,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Fantasia S.A.,*,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Fantasma Blitz,COL 7,,,,,ok,23-julio,1,8,7,9,3,2,,,3,,,33,,,,,,,,,,,,,,
Fantasma Blitz,COL 7,,,,,ok,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fantasma Blitz 2.0,COL 7,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Fantasma Blitz las 12 menos 5,Y6,,,,,,,,,3,1,,,,,1,,,5,,,,,,,,,,,,,,
Fantasma Blitz ¡menudo susto!,P1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
Fantastic Park,Z3,,,,,,,,,,,7,5,,,,1,,13,,,,,,,,,,,,,,
Fantasy Realms,COL 1,26 MAR 2025,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Faraway,COL 5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Fast Food Battle,COL 4,,,,,,,,,,,,4,2,,,,,6,,,,,,,,,,,,,,
Fast Food Fear,*,,,,,,,,,,1,1,2,2,,,,,6,,,,,,,,,,,,,,
Fauna,J1,,,,,ok,,,1,3,1,2,1,3,,,1,,12,,,,,,,,,,,,,,
Feed the Kraken,D5,,,,,,,,,,,,,,,5,2,1,8,,,,,,,,,,,,,,
Feelinks,Y5,,,,,,,,,,,3,1,,1,,,,5,,,,,,,,,,,,,,
Feliz No Cumpleaños,COL 3,20 DIC 2024,,,,,,,,,,,,,,,1,3,4,,,,,,,,,,,,,,
Fertility,I3,,,,,,,,,,,,2,8,2,1,2,1,16,,,,,,,,,,,,,,
Festival,J6,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Festival Jugamos Tod@s,Novedades,16 OCT 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Festival Jugamos Tod@s: Festival 2025,,16 OCT 2025,,,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Festival of a Thousand Cats,COL 1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Fiesta de regalos,COL 6,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,
Fila Filo,Y2,,,,,falta un soporte de arriba,19-diciembre,,1,3,1,1,2,,,,3,1,12,,,,,,,,,,,,,,
Final Fantasy TCG,Ventas,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Final Fantasy TCG,Ventas,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Firefly: El Juego,A6,,,,,,,,1,2,1,,,1,,,,,5,,,,,,,,,,,,,,
First Rat,G3,,,,,,,,,,,,,,,,2,1,3,,,,,,,,,,,,,,
Five Tribes: The Djinns of Naqala,I3,,,,,caja tocada,19-febrero,,,5,2,2,2,5,2,,1,,19,,,,,,,,,,,,,,
Flamme Rouge,I4,,,,,,,,,,,2,7,1,1,,,,11,,,,,,,,,,,,,,
Flamme Rouge: Le Grand Tour 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flap Flap,Z2,,,,,,,,,,,5,2,1,1,1,,,10,,,,,,,,,,,,,,
Flash Point: Fire Rescue (¡Rescate!),C4,,,,,"falta maquetar las cartas, faltan 3 marcadores",24-julio,,,2,3,,,1,1,,1,,8,,,,,,,,,,,,,,
Flashback: Zombie Kidz,Z3,DIC 2023,,,,,,,,,,,,,,,3,1,4,,,,,,,,,,,,,,
Flick em Up: Tierra de forajidos,L2,,,,,,,,,1,1,1,,,,1,,1,5,,,,,,,,,,,,,,
Flip 7,COL 1,30 AGO 2025,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Fog of Love,K1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Food Chain Magnate,E2,26 MAY 2023,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Fórmula D,I4,,,,,tapa reparada,,2,4,,1,,,1,1,,,,9,,,,,,,,,,,,,,
Fórmula Perfecta,COL 7,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Fortuna,C1,,,,,caja rota,,1,,1,,,,,,,,,2,,,,,,,,,,,,,,
Frenetic Village,COL 4,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Fresko,I3,,,,,,,,,1,2,1,1,2,1,1,,,9,,,,,,,,,,,,,,
"Fresko Módulos 8, 9 y 10",I3,,,,,,,,,1,,,,,,1,,,2,,,,,,,,,,,,,,
Friegas tú,COL 0,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Frogriders,D1,,,,,,,,,,,5,3,,,,,,8,,,,,,,,,,,,,,
Frogriders: The Green Frog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuji,H5,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,
Fuji Flush,COL 5,,,,,,,,,,,,1,2,,,,,3,,,,,,,,,,,,,,
Funky Pollo,P1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Furnace,M3,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Future Inc.,COL 2,ABRIL 2024,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Gaia Project,L5,,,,,,,,,,,1,6,1,1,,2,,11,,,,,,,,,,,,,,
Galápagos,*,,,,,,15-septiembre,,,,,,,,,,,,0,,,,,,,,,,,,,,
Galaxy Trucker (2021),H4,,,,,,,,,,,,,,,,3,1,4,,,,,,,,,,,,,,
Game of Trolls,COL 5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Ganges,G2,,,,,,,,,,,,3,1,,1,,,5,,,,,,,,,,,,,,
Gardens,J1,,,,,,,,3,,1,,1,1,1,,,,7,,,,,,,,,,,,,,
Genial,I1,,,,,caja exterior rota,,2,4,5,1,3,2,1,,,,,18,,,,,,,,,,,,,,
Gestrudis,COL 2,26 ABR 2025,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Get on Board: New York & London,I5,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Ghost Adventure,Y6,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,
Ghost at Home,COL 1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Giant City,COL 1,MARZO 2024,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Gigi Gnomo,Y2,,,,,,,,,,,1,2,,,,1,,4,,,,,,,,,,,,,,
Gizeh!,COL 4,,,,,,,,,,,,1,1,,,,,2,,,,,,,,,,,,,,
Gloobz,Z2,,,,,ok,12-agosto,,,3,,1,,,,1,,,5,,,,,,,,,,,,,,
Gloomhaven: Fauces del León,B3,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,
Go,A1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
GOA,G4,,,,,,,,1,,,,,,,1,,1,3,,,,,,,,,,,,,,
Gohut,H6,DIC 2023,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Golf 'n' Roll,*,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,
Golosifantes,Z5,,,,,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,
Golygame,Ventas,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Graffiti,D3,,,,,tiene 2 pizarras rotas,23-julio,1,4,,1,,,,1,1,,,8,,,,,,,,,,,,,,
Gran Austria Hotel,G3,,,,,,,,,,3,4,3,5,1,1,,2,19,,,,,,,,,,,,,,
Gran Austria Hotel: Let's Waltz!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gravity Superstar,Z3,,,,,,,,,,,,,6,1,,,2,9,,,,,,,,,,,,,,
Great Western Trail,F2,,,,,,,,,,2,3,1,3,,1,,1,11,,,,,,,,,,,,,,
Gretchinz!,Ventas,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,
Grim Doom,C1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Guatafac (Demo),,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Guau Guau y la oreja colgante,Y4,,,,,,,,,,,1,3,,,,,,4,,,,,,,,,,,,,,
Guerra de Mitos,COL 5,,,,,,,,1,,1,,,,,,,,2,,,,,,,,,,,,,,
Guerra del Anillo,B6,,,,,ok,7-octubre,,3,2,1,2,,,,,2,1,11,,,,,,,,,,,,,,
Guerra del Anillo: Exp. Barbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerra del Anillo: Exp. Tidings Not Burdens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guerra del Anillo: Señores de la Tierrra Media,B6,,,,,ok,7-octubre,,2,1,1,2,,,,,,,6,,,,,,,,,,,,,,
Gugong,H2,,,,,,,,,,,,3,3,,,1,,7,,,,,,,,,,,,,,
Guilds,D1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Guilds of London,E1,,,,,,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,
Guisantes,COL 7,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
Gulo Gulo,Y2,,,,,,,,1,1,,1,1,,,,,,4,,,,,,,,,,,,,,
Habitats,I4,,,,,,,,,,,,,,2,1,1,,4,,,,,,,,,,,,,,
Hadara,G4,,,,,,,,,,,,4,2,2,1,,,9,,,,,,,,,,,,,,
Haggis,COL 4,,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,
Halli Galli,COL 7,,,,,,,,,2,1,,,,2,1,,,6,,,,,,,,,,,,,,
Hamsterrolle,L2,,,,,falta 1 pieza,,,1,2,1,,1,,,,,,5,,,,,,,,,,,,,,
Hanabi,COL 3,,,,,,,,,3,2,1,,,,1,,1,8,,,,,,,,,,,,,,
Hanamikoji,COL 1,15 MAY 2025,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Hands Up!,COL 6,,,,,,,,5,4,2,,,,,1,,,12,,,,,,,,,,,,,,
Hands Up! Ed. FlexIQ,Y5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannibal & Hamilcar,C5,,,,,,,,,,,,2,1,,,,,3,,,,,,,,,,,,,,
Hansa Teutónica,F3,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
Happy City,COL 1,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Happy Mochi,COL 0,26 ABR 2025,,,,ok,13/08/2025,,,,,,,,,,,1,1,,,,,,,,,,,,,,
Happy Salmon,P1,,,,,,,,,,,3,6,2,1,,1,,13,,,,,,,,,,,,,,
Harmonies,J4,20 nov 2024,,,,,,,,,,,,,,,1,8,9,,,,,,,,,,,,,,
Harmony,Novedades,3 ago 2025,Noa,8 oct,n,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Hatflings!,I5,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,,,
"Hazme ""match"" si puedes",Novedades,15 SEP 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Heat,I4,ABRIL 2024,rawinn,9 oct,,,,,,,,,,,,,1,4,5,,,,,,,,,,,,,,
Heaven & Ale,E2,,,,,,,,,,,,2,1,,,,1,4,,,,,,,,,,,,,,
Hegemony: Lead Your Class to Victory,L6,26 ABR 2025,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
Hello,COL 6,16 OCT 2024,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,
Herbáceas,J6,,,,,,,,,,,,4,2,1,,1,,8,,,,,,,,,,,,,,
Herbalism,COL 2,,,,,,,,,,,,,2,2,,,,4,,,,,,,,,,,,,,
Hercules,J6,14 JUN 2023,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,
Hero Realms,COL 2,,,,,,,,,,,3,1,,,,,1,5,,,,,,,,,,,,,,
Heropath: Dragon Roar,B1,,,,,,6 noviembre,,,,,,,,,,,,0,,,,,,,,,,,,,,
Heropath: Dragon Roar – Fire Light,B1,,,,,,6 noviembre,,,,,,,,,,,,0,,,,,,,,,,,,,,
Heropath: Dragon Roar – With Allies,B1,,,,,,6 noviembre,,,,,,,,,,,,0,,,,,,,,,,,,,,
Hex Roller,COL 2,,,,,,,,,,,,4,1,,,,,5,,,,,,,,,,,,,,
Hidden Games Escena del Crimen 2: La diadema escarlata,Novedades,30 AGO 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Hipatia,COL 0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Hive Pocket,P4,,,,,,,,3,,1,,1,,,,,3,8,,,,,,,,,,,,,,
Hollywood Golden Age,F1,,,,,,,,,,,2,,1,,,,,3,,,,,,,,,,,,,,
Holmes: Sherlock & Mycroft,I6,,,,,,,,,3,2,1,2,,,,1,,9,,,,,,,,,,,,,,
Honey,Z4,,,,,,,,,,,,,,1,3,1,,5,,,,,,,,,,,,,,
Honey Buzz,I3,ABRIL 2024,,,,,,,,,,,,,,,5,1,6,,,,,,,,,,,,,,
Honga,C4,,,,,,,,,,,,4,2,1,,1,2,10,,,,,,,,,,,,,,
Honshu,COL 2,,,,,,,,,,,1,,1,,,,,2,,,,,,,,,,,,,,
Hostage Negotiator,I6,,,,,,,,,,1,3,1,2,,1,,,8,,,,,,,,,,,,,,
Huída de Silver City,C2,,,,,,,,3,1,2,1,,,,,,,7,,,,,,,,,,,,,,
Hungry Shark,*,,,,,,,,,,,,1,1,1,,,,3,,,,,,,,,,,,,,
If Wishes were fishes,Z5,,,,,,,,,,2,,,,,,1,,3,,,,,,,,,,,,,,
Ikonikus (muestra),Novedades,16 OCT 2025,,,n,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Ilôs,C4,,,,,,,,,,,,,2,1,,,,3,,,,,,,,,,,,,,
Iluliaq,COL 6,ENE 2024,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Imaginarium,F1,,,,,,,,,,,,,3,,1,1,1,6,,,,,,,,,,,,,,
Imhotep,I2,,,,,,,,,,2,,2,2,1,,,,7,,,,,,,,,,,,,,
Impact: La Batalla de los Elementos,COL 5,,,,,,,,,,,,5,3,1,,1,,10,,,,,,,,,,,,,,
Incómodos Invitados,F6,,,,,,,,,,,5,3,4,2,1,2,1,18,,,,,,,,,,,,,,
Indian Summer,J1,,,,,,,,,,,4,1,1,1,,,,7,,,,,,,,,,,,,,
Industry,E1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
Inkógnito,G5,,,,,ok,1-agosto,1,1,,,,,,,1,,,3,,,,,,,,,,,,,,
Instacrime: Mundford,G6,,,,,,,,,,,,,2,1,1,,,4,,,,,,,,,,,,,,
Interferencias,D6,,,,,,,,,,,,11,5,2,3,1,3,25,,,,,,,,,,,,,,
IQ Files: Pecados,COL 4,,,,,,,,,,,,,,2,2,,,4,,,,,,,,,,,,,,
Isidore,*,,,,,,,,,,,1,1,,,,,1,3,,,,,,,,,,,,,,
Isla a la Vista,Novedades,OCT 2024,,,n,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,
Isla de Skye: De Líder a Rey,M2,,,,,ok,19-febrero,,,4,,,,,,,,,4,,,,,,,,,,,,,,
Isle of Skye: From Chieftain to King – Adjacency Scrolls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islet,J2,MARZO 2024,,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,
Istanbul Big Box,H2,,,,,,,,,,,,,1,1,,1,1,4,,,,,,,,,,,,,,
Istanbul: Caravan Leader Mini Expansion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Istanbul: Kebab Shop Mini Expansion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Istanbul: Pegasus Depot Mini Expansion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Istanbul: El juego de dados,H2,,,,,tapa dañada,20/08/2025,,,,,,,,,,1,2,3,,,,,,,,,,,,,,
It Happens...,Y6,,,,,,,1,,2,2,1,,,,,,,6,,,,,,,,,,,,,,
It's a Wonderful Kingdom,H4,FEB 2024,,,,,,,,,,,,,,,5,,5,,,,,,,,,,,,,,
It's a Wonderful World,H4,,,,,,,,,,,,,,,1,3,3,7,,,,,,,,,,,,,,
Jaipur,COL 1,,,,,ok,21-julio,,2,3,2,2,5,,1,,2,1,18,,,,,,,,,,,,,,
Jamaica,K6,12 ABR 2025,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,
JINX,COL 5,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
Jórvik,D1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
Juego de Tronos: Intrigas de Poniente,*,,,,,,,,,3,,,,,,,,,3,,,,,,,,,,,,,,
Juego de Tronos LCG,B1,,,,,,,,,1,1,,,,,,,,2,,,,,,,,,,,,,,
Jungle Speed,P2,,,,,ok,23-julio,,1,2,1,1,,1,,1,1,,8,,,,,,,,,,,,,,
Jungle Speed,P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
